trial_id,trial_type,condition,chain_index,initial_hypothesis,final_hypothesis,final_length,response_type,additive_moves,subtractive_moves,accuracy
A2,additive,p_add=0.5_steps=50_temp=1.0,12,circle;blue,blue,1,subtractive,4,5,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,13,circle;blue,blue,1,subtractive,0,1,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,14,circle;blue,blue,1,subtractive,3,4,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,15,circle;blue,blue,1,subtractive,1,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,16,circle;blue,blue,1,subtractive,1,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,17,circle;blue,blue,1,subtractive,0,1,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,18,circle;blue,blue,1,subtractive,0,1,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,19,circle;blue,blue,1,subtractive,2,3,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,20,circle;blue,blue,1,subtractive,2,3,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,21,circle;blue,blue,1,subtractive,1,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,22,circle;blue,blue,1,subtractive,4,5,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,23,circle;blue,blue,1,subtractive,4,5,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,24,circle;blue,blue,1,subtractive,1,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,25,circle;blue,blue,1,subtractive,3,4,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,26,circle;blue,blue;circle,2,nochange,2,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,27,circle;blue,blue;circle,2,nochange,1,1,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,28,circle;blue,blue,1,subtractive,1,2,1.0
A2,additive,p_add=0.5_steps=50_temp=1.0,29,circle;blue,blue,1,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,0,circle;red;big,red;big,2,subtractive,0,1,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,1,circle;red;big,red;big,2,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,2,circle;red;big,red;big,2,subtractive,5,6,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,3,circle;red;big,red;big,2,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,4,circle;red;big,red;big,2,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,5,circle;red;big,red;big,2,subtractive,3,4,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,6,circle;red;big,red;big,2,subtractive,0,1,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,7,circle;red;big,red;big,2,subtractive,1,2,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,8,circle;red;big,red;big,2,subtractive,4,5,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,9,circle;red;big,red;big,2,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,10,circle;red;big,big;striped,2,mixed,6,7,0.6666666666666666
S3,subtractive,p_add=0.5_steps=50_temp=1.0,11,circle;red;big,red;big,2,subtractive,1,2,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,12,circle;red;big,red;big;circle,3,nochange,2,2,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,13,circle;red;big,red;big,2,subtractive,1,2,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,14,circle;red;big,red;big;circle,3,nochange,3,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,15,circle;red;big,red;big,2,subtractive,1,2,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,16,circle;red;big,red;big,2,subtractive,1,2,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,17,circle;red;big,red;big,2,subtractive,0,1,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,18,circle;red;big,red;big,2,subtractive,0,1,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,19,circle;red;big,red;big,2,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,20,circle;red;big,red;big;circle,3,nochange,3,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,21,circle;red;big,red;big,2,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,22,circle;red;big,big,1,subtractive,3,5,0.6666666666666666
S3,subtractive,p_add=0.5_steps=50_temp=1.0,23,circle;red;big,red;big,2,subtractive,4,5,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,24,circle;red;big,red;big,2,subtractive,1,2,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,25,circle;red;big,red;big,2,subtractive,2,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,26,circle;red;big,red;big;circle,3,nochange,4,4,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,27,circle;red;big,red;big;circle,3,nochange,3,3,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,28,circle;red;big,red;big,2,subtractive,0,1,1.0
S3,subtractive,p_add=0.5_steps=50_temp=1.0,29,circle;red;big,red;big,2,subtractive,3,4,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,0,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,1,square,,0,subtractive,3,4,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,2,square,square,1,nochange,3,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,3,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,4,square,square,1,nochange,1,1,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,5,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,6,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,7,square,,0,subtractive,1,2,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,8,square,,0,subtractive,0,1,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,9,square,,0,subtractive,1,2,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,10,square,,0,subtractive,1,2,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,11,square,,0,subtractive,0,1,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,12,square,,0,subtractive,3,4,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,13,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,14,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,15,square,,0,subtractive,4,5,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,16,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,17,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,18,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,19,square,,0,subtractive,1,2,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,20,square,,0,subtractive,2,3,1.0
A3,additive,p_add=0.5_steps=50_temp=1.0,21,square,,0,subtractive,0,1,1.0
